	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-4.0	1.0	8.0	13.93042958148827	11.234929565006027	0.2720260480057741
1	-4.0	1.0	8.0	14.970304762697221	9.099967421799107	0.21778464631190686
2	-1.9310344827586206	0.7	8.0	14.711178399296953	11.510691370470411	0.15541991016429618
3	-4.0	0.7	8.0	11.685800227705334	9.842538566085366	0.6574753206442798
4	-1.2413793103448274	0.7	8.0	14.43492332786204	13.224003272172155	0.27650857127421063
5	-0.7241379310344827	1.0	6.0	13.093006587028373	8.030530312836461	0.43748294059885223
6	-4.0	1.0	8.0	12.430593300517234	7.540876419625441	0.5177748723489177
7	-1.2413793103448274	0.7	7.0	13.47275229536043	12.431756923764851	0.3857195238846699
8	-4.0	1.0	8.0	14.00283349915302	11.585813517433017	0.26485216239572495
9	-4.0	1.0	8.0	11.660347883433548	11.48671824409653	0.7145795154721283
10	-4.0	1.0	8.0	15.288800689916542	9.546027823541724	0.16490095648017744
