	mu	var	coef
peak23886	3.931048659568229	0.0057631284153515025	0.18593852679384593
peak24237	1.650579670259897	0.04599559852971614	-0.0008425505570145491
peak24330	2.622297213099804	0.041217085272193484	-0.10439984620422547
peak24441	1.4551681471865374	0.07055645239687407	0.6799181254988016
peak24780	1.6322951267405132	0.043939285543967754	0.6074959245886947
peak25586	3.557902260457086	0.004823374733511315	0.36734792423781903
peak25810	2.4152548404888043	0.06327765279972382	-0.617493136592481
peak25908	2.133932421944409	0.04532002785772902	0.02582270976743963
peak26278	1.3034000960847065	0.07602344036350303	0.10769133157606378
peak26283	1.5178055136625932	0.07030057368874643	0.017578745261953486
peak26285	1.453129960476382	0.1006464851209434	0.3675413046906856
peak26490	2.1934976423691905	0.0754733534139608	-0.1316042839566869
peak26703	1.9325825431730375	0.06835210281391108	0.18814403942403768
peak27131	1.7750205614637304	0.042467157403791166	-0.03643753874160293
peak27170	2.2633580118913845	0.04891917466869751	-0.10873497103852033
peak28019	1.3837779703637376	0.05889275013509604	-0.013180683522568593
peak28771	1.707842002863279	0.09868786383401268	0.11114163291377203
peak29160	1.3262787926688668	0.07418033340729743	-0.37019525359399863
peak29393	1.7325506452354171	0.042181497647185304	0.006500226843906422
peak30341	2.349098594304869	0.026162754603704815	-0.023804331724708687
peak30421	3.907461047152102	0.007122072914928178	0.03300758327703698
peak30853	1.6269088805460068	0.05978396785252902	0.045802847859429785
peak31034	2.1515064160527206	0.03670181517037801	0.268259070978226
peak32192	1.5147053095212957	0.060372607990825986	0.15362508784524562
peak32410	2.9763053516376132	0.012721514488633224	0.19143625670519177
peak32779	1.7071426059367354	0.05206386938449904	0.01023079807941298
peak32888	2.556568406747393	0.01836421013010255	-0.028392054583921134
peak33606	3.3712553478580967	0.0078066300194604196	-0.10366912498569061
peak33928	3.409746241399151	0.03346833365964649	-0.4027835197767194
peak34762	1.7645987495079758	0.1018548554681781	-0.1625975491969168
peak35183	2.509893303346795	0.03534308106364893	0.3912153786914671
peak35380	1.2212133242724807	0.08448686829736622	-0.07125521633831308
peak35822	2.621199820467477	0.0229400596482774	-0.14496474312622684
peak36050	2.308342656918668	0.016513732279933153	0.3862935012207942
peak36370	2.1470997631447517	0.025032177615080337	0.00027454260927888436
peak36500	1.4404713316927873	0.05932662775328485	0.2309545961407572
peak36735	3.2806744008474444	0.00587237976039428	-0.0015175615955919412
peak36809	2.9531802159559093	0.016089323490376742	-0.03754147924429488
peak36837	1.7228772070818092	0.04604830095642728	-0.2035628378324947
peak36964	2.335248428417225	0.0443945805593725	0.0059524541182707615
peak36972	2.0981403493415507	0.09230478396660008	-0.7770935643399144
peak36982	3.1492315138300113	0.016525559302487645	0.38341229270298705
peak37114	1.4942952089993622	0.05812729616736202	0.03120827932989878
peak37317	1.862145989954042	0.04849813669062781	0.34380069450948275
peak37351	2.9284879488717075	0.015249842557089466	-0.1431189828207274
peak37468	1.9272094858194302	0.11756039710804558	0.11735038968500609
peak37609	3.603746581233457	0.0042968145335549575	-0.3484604950605078
peak37855	3.1624226326880644	0.013121028123796171	-0.5484794631176556
peak37996	3.6618395168069715	0.006661795621788364	-0.0002865206916888667
peak38001	3.0933973149133753	0.03627769796179708	-0.5149059310093514
peak38234	2.86973415174868	0.04853627358313624	0.004618106566103524
peak38355	2.510789520502219	0.024385729106177208	-0.0016346750666851571
peak38612	1.3623469664403771	0.05284621014140637	0.04436472777971767
peak38921	3.454794139981082	0.009232378016219681	-0.09673671395186785
peak39426	2.529362181331759	0.01497468439454207	0.0521613749727991
peak39609	2.6561316592964324	0.09960686282998883	0.0781682052713228
peak39741	2.171147924354106	0.0313263709720903	-0.0008243213620390498
peak39864	1.2765358980513242	0.08689122915174123	-0.360712073590059
peak40186	2.3203586664277833	0.17616294447635067	-0.017360415371784944
