	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.068965517241379	1.0	129.0	7.972037248273151	5.2636104860941515	0.8339075549774915
1	-2.4482758620689653	0.9	232.0	7.673920458985822	6.288252096509979	0.8431048851981449
2	-1.2413793103448274	0.95	143.0	8.49482626834561	7.2349089307363315	0.8285228952486366
3	-2.4482758620689653	0.95	239.0	6.803093702020731	4.791261452435265	0.9083418034910045
4	-2.4482758620689653	0.99	230.0	6.031005632673168	5.709433748877672	0.9259713912524161
5	-2.275862068965517	0.99	215.0	7.828512250365869	3.6657337134585504	0.8446349501723395
6	-1.068965517241379	0.8	207.0	5.7161970833956275	3.948871556674195	0.9414152359385696
7	-2.4482758620689653	1.0	204.0	5.832280247870647	4.631160292994743	0.92470500867302
8	-2.275862068965517	0.8	254.0	8.07448071274508	5.690544706535299	0.8752165366540992
9	-2.103448275862069	0.95	187.0	8.392930103328432	5.5227252389117325	0.8249843216221252
10	-2.4482758620689653	0.9	246.0	9.580627331604408	6.996957066797648	0.7821802032488492
