	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	0.3103448275862073	0.99	41.0	12.537217028615723	11.933323814744021	0.4841698713966626
1	0.4827586206896557	0.7	106.0	12.284796055521062	4.8114947622066	0.530969691574602
2	0.4827586206896557	0.7	100.0	11.250826201719219	10.1635531121686	0.704337432205452
3	0.4827586206896557	0.95	32.0	12.718346996493494	12.22666915770293	0.4691217811315732
4	0.3103448275862073	0.99	52.0	11.35736585578103	6.334588301976694	0.6923490179690094
5	0.4827586206896557	0.7	95.0	12.88727599328429	7.9067771497862935	0.44863464787336604
6	0.4827586206896557	0.7	110.0	12.530276823224062	11.637955379092311	0.5095327877918873
7	0.4827586206896557	0.7	93.0	16.00635137622429	15.602217369205142	-0.06730254547189676
8	0.3103448275862073	0.9	59.0	12.027923497955973	12.142830867082623	0.5681937726262941
9	0.3103448275862073	1.0	35.0	14.727823594117496	9.970363238204783	0.1348040850519244
10	0.3103448275862073	0.7	155.0	14.918619725205186	9.465220004992144	0.1262975676992638
