	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-2.275862068965517	0.9	214.0	6.776120446386851	7.28233533221168	0.9125468584291009
1	-2.275862068965517	1.0	217.0	6.572511642782114	4.753785410053503	0.8979303646616231
2	-2.103448275862069	1.0	195.0	7.3643482896780394	7.0386261269424395	0.8576909119900966
3	-2.4482758620689653	0.7	334.0	5.6296697629953725	4.789450961969038	0.9463579754084251
4	-2.275862068965517	0.7	323.0	5.815113618697381	6.002127896443682	0.9393098788269165
5	-2.103448275862069	0.95	192.0	8.85688266390805	5.613098463261942	0.8029385307426895
6	-0.8965517241379306	0.9	158.0	4.758995615141251	3.1780863302346063	0.9532865916756623
7	-2.6206896551724137	0.8	309.0	10.925032672624349	10.425623683394221	0.7054929994443524
8	-2.4482758620689653	0.95	227.0	7.262577227809891	6.133279765247806	0.9057837432929061
9	-2.6206896551724137	0.8	322.0	7.428137862755395	7.164550944046397	0.9320136294766859
10	-2.4482758620689653	0.95	227.0	8.934396632892074	5.1983093916916125	0.7534639694558625
