	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.7586206896551722	0.9	161.0	10.419141409894285	7.783109451163909	0.7229943001057482
1	-2.6206896551724137	0.7	327.0	8.894291476122334	8.56283187368306	0.7829103205741776
2	-2.4482758620689653	0.9	206.0	9.012906196989391	7.617610538199052	0.773952211374535
3	-1.4137931034482758	0.9	163.0	7.586405041502784	3.918327774428377	0.8567321849870123
4	-2.103448275862069	0.95	190.0	11.303206850640766	8.007918742844026	0.6785302654829852
5	0.13793103448275887	0.9	70.0	8.368318596327791	6.285349479843552	0.8566865169351218
6	-0.2068965517241379	0.7	190.0	8.033685863516983	4.167331125034888	0.8507176288523881
7	-2.793103448275862	0.8	311.0	9.755485377734262	8.799360527135953	0.7336793230175416
8	-0.03448275862068952	0.7	189.0	11.097573589674353	7.779015066970604	0.6876749910417784
9	-2.275862068965517	0.8	222.0	9.76314081878826	4.5604537919457435	0.7527224097169476
10	-2.275862068965517	1.0	170.0	8.418998142471047	4.426327458908538	0.8366908999335623
