	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.7586206896551722	0.99	160.0	7.413292318564564	4.897257666581801	0.8666463199036412
1	-2.275862068965517	0.7	303.0	7.767828731733311	6.489832576598843	0.8461730946433813
2	-1.068965517241379	0.95	144.0	8.398172145548978	6.868274517514237	0.8382287074788715
3	-2.6206896551724137	0.99	271.0	8.08180707966115	6.643446295290488	0.8383753096318488
4	-1.7586206896551722	0.7	275.0	6.632707531004751	4.6355754041667225	0.9252348751167546
5	-2.275862068965517	0.9	229.0	7.400990155384509	4.636118123352837	0.8703526052488499
6	-0.7241379310344827	0.8	206.0	5.514974461468287	4.43780758063637	0.9460801566903256
7	-1.2413793103448274	0.95	151.0	7.128184011992049	5.1078551828858565	0.8922155073366809
8	-1.068965517241379	0.8	212.0	7.862585255068176	3.34587337021825	0.8632414168191558
9	-2.275862068965517	0.9	197.0	9.127555175087288	6.677181278801612	0.8395323248145672
10	-2.275862068965517	0.95	233.0	9.545323917386304	7.008353847143006	0.7781741346702686
